300	74.22	0	1.48	0	1.7	16.25	0	0	6.34	0	0	0	0	0
500	74.22	0	1.48	0	1.7	16.25	0	0	6.34	0	0	0	0	0
600	74.22	0	1.48	0	1.7	16.25	0	0	6.34	0	0	0	0	0
700	74.22	0	1.48	0	1.7	16.25	0	0	6.34	0	0	0	0	0
800	74.22	0	1.48	0	1.7	16.25	0	0	6.34	0	0	0	0	0
900	73.53	0	1.95	0	1.58	16.39	0	0	6.54	0	0	0	0	0
1000	73.53	0	1.95	0	1.58	16.39	0	0	6.54	0	0	0	0	0
1100	73.1	0	2.2	0	1.48	16.44	0	0	6.78	0	0	0	0	0
25	68.49	5.65	2.21	0.67	3.28	15.97	0	0	3.73	0	0	0	0	0
300	68.49	5.65	2.21	0.67	3.28	15.97	0	0	3.73	0	0	0	0	0
500	68.49	5.65	2.21	0.67	3.28	15.97	0	0	3.73	0	0	0	0	0
600	68.49	5.65	2.21	0.67	3.28	15.97	0	0	3.73	0	0	0	0	0
700	68.49	5.65	2.21	0.67	3.28	15.97	0	0	3.73	0	0	0	0	0
800	68.49	5.65	2.21	0.67	3.28	15.97	0	0	3.73	0	0	0	0	0
900	67.96	5.93	2.39	0.65	3.24	16.06	0	0	3.78	0	0	0	0	0
1000	67.08	6.41	2.68	0.6	3.13	16.21	0	0	3.9	0	0	0	0	0
1100	66.32	6.79	2.86	0.54	2.97	16.4	0	0	4.13	0	0	0	0	0
25	69.61	4.93	1.73	0	2.89	16.96	0	0	3.68	0	0.19	0	0	0
300	69.61	4.93	1.73	0	2.89	16.96	0	0	3.68	0	0.19	0	0	0
500	69.61	4.93	1.73	0	2.89	16.96	0	0	3.68	0	0.19	0	0	0
600	69.61	4.93	1.73	0	2.89	16.96	0	0	3.68	0	0.19	0	0	0
700	69.61	4.93	1.73	0	2.89	16.96	0	0	3.68	0	0.19	0	0	0
800	69.61	4.93	1.73	0	2.89	16.96	0	0	3.68	0	0.19	0	0	0
900	69.15	5.22	1.9	0	2.85	16.97	0	0	3.73	0	0.19	0	0	0
1000	68.23	5.64	2.14	0	2.73	17.18	0	0	3.92	0	0.16	0	0	0
1100	67.53	6.01	2.29	0	2.58	17.2	0	0	4.25	0	0.14	0	0	0
25	73.84	0	4.02	1.66	0	14.83	3.64	1.6	0.4	0	0	0	0	0
300	73.84	0	4.02	1.66	0	14.83	3.64	1.6	0.4	0	0	0	0	0
500	73.84	0	4.02	1.66	0	14.83	3.64	1.6	0.4	0	0	0	0	0
600	73.84	0	4.02	1.66	0	14.83	3.64	1.6	0.4	0	0	0	0	0
700	73.84	0	4.02	1.66	0	14.83	3.64	1.6	0.4	0	0	0	0	0
800	73.84	0	4.02	1.66	0	14.83	3.64	1.6	0.4	0	0	0	0	0
900	73.6	0	4.35	1.62	0	14.8	3.64	1.59	0.4	0	0	0	0	0
1000	73.07	0	4.75	1.46	0	15.04	3.67	1.58	0.43	0	0	0	0	0
25	74.79	0	2.61	1.94	0	17.08	1.56	2.02	0	0	0	0	0	0
300	74.79	0	2.61	1.94	0	17.08	1.56	2.02	0	0	0	0	0	0
500	74.79	0	2.61	1.94	0	17.08	1.56	2.02	0	0	0	0	0	0
700	74.79	0	2.61	1.94	0	17.08	1.56	2.02	0	0	0	0	0	0
800	74.79	0	2.61	1.94	0	17.08	1.56	2.02	0	0	0	0	0	0
900	74.66	0	2.87	1.89	0	17.02	1.56	2	0	0	0	0	0	0
1000	74.24	0	3.13	1.68	0	17.36	1.59	2.01	0	0	0	0	0	0
1100	73.91	0	3.14	1.39	0	17.96	1.59	2.01	0	0	0	0	0	0
25	73.83	0	3.12	2.43	0	16.97	0	0	3.65	0	0	0	0	0
300	73.83	0	3.12	2.43	0	16.97	0	0	3.65	0	0	0	0	0
500	73.83	0	3.12	2.43	0	16.97	0	0	3.65	0	0	0	0	0
600	73.83	0	3.12	2.43	0	16.97	0	0	3.65	0	0	0	0	0
700	73.83	0	3.12	2.43	0	16.97	0	0	3.65	0	0	0	0	0
800	73.83	0	3.12	2.43	0	16.97	0	0	3.65	0	0	0	0	0
900	73.59	0	3.35	2.35	0	17	0	0	3.7	0	0	0	0	0
1000	73.17	0	3.69	2.16	0	17.13	0	0	3.86	0	0	0	0	0
1100	72.82	0	3.86	1.9	0	17.26	0	0	4.17	0	0	0	0	0
25	74.53	0	2.17	2.76	0	17.86	0	0	2.55	0.14	0	0	0	0
300	74.53	0	2.17	2.76	0	17.86	0	0	2.55	0.14	0	0	0	0
500	74.53	0	2.17	2.76	0	17.86	0	0	2.55	0.14	0	0	0	0
600	74.53	0	2.17	2.76	0	17.86	0	0	2.55	0.14	0	0	0	0
700	74.53	0	2.17	2.76	0	17.86	0	0	2.55	0.14	0	0	0	0
800	74.53	0	2.17	2.76	0	17.86	0	0	2.55	0.14	0	0	0	0
900	74.31	0	2.3	2.64	0	18	0	0	2.61	0.14	0	0	0	0
1000	73.87	0	2.48	2.34	0	18.34	0	0	2.81	0.16	0	0	0	0
1100	73.63	0	2.55	1.99	0	18.46	0	0	3.18	0.18	0	0	0	0
25	70.37	3.9	2.49	2.43	0	17.12	0	0	3.7	0	0	0	0	0
300	70.37	3.9	2.49	2.43	0	17.12	0	0	3.7	0	0	0	0	0
500	70.37	3.9	2.49	2.43	0	17.12	0	0	3.7	0	0	0	0	0
600	70.37	3.9	2.49	2.43	0	17.12	0	0	3.7	0	0	0	0	0
700	70.37	3.9	2.49	2.43	0	17.12	0	0	3.7	0	0	0	0	0
800	70.37	3.9	2.49	2.43	0	17.12	0	0	3.7	0	0	0	0	0
900	70.02	4.1	2.67	2.36	0	17.1	0	0	3.75	0	0	0	0	0
1000	69.33	4.34	2.86	2.11	0	17.36	0	0	3.99	0	0	0	0	0
25	90.2	0	9.8	0	0	0	0	0	0	0	0	0	0	0
25	90	0	4.9	0	0	5.1	0	0	0	0	0	0	0	0
25	84.8	0	15.2	0	0	0	0	0	0	0	0	0	0	0
25	85.1	0	12.2	0	0	2.7	0	0	0	0	0	0	0	0
25	84.9	0	9.9	0	0	5.2	0	0	0	0	0	0	0	0
25	82.8	0	9.6	0	0	7.6	0	0	0	0	0	0	0	0
25	80.2	0	19.8	0	0	0	0	0	0	0	0	0	0	0
25	79.9	0	14.8	0	0	5.3	0	0	0	0	0	0	0	0
25	75.1	0	24.9	0	0	0	0	0	0	0	0	0	0	0
25	74.6	0	22.4	0	0	3	0	0	0	0	0	0	0	0
25	74.9	0	19.8	0	0	5.3	0	0	0	0	0	0	0	0
25	70.2	0	29.8	0	0	0	0	0	0	0	0	0	0	0
25	69.9	0	27.4	0	0	2.7	0	0	0	0	0	0	0	0
25	69.9	0	24.7	0	0	5.4	0	0	0	0	0	0	0	0
25	65.2	0	34.8	0	0	0	0	0	0	0	0	0	0	0
25	64.7	0	32.5	0	0	2.8	0	0	0	0	0	0	0	0
25	64.9	0	29.3	0	0	5.8	0	0	0	0	0	0	0	0
25	73.9	0	7.5	0	0	18.6	0	0	0	0	0	0	0	0
25	74.8	0	4.9	0	0	20.3	0	0	0	0	0	0	0	0
25	73.8	0	2.8	0	0	23.4	0	0	0	0	0	0	0	0
25	74	0	0	0	0	26	0	0	0	0	0	0	0	0
25	71.9	0	9.4	0	0	18.7	0	0	0	0	0	0	0	0
25	68.6	0	17.5	0	0	13.9	0	0	0	0	0	0	0	0
25	68.9	0	15.1	0	0	16	0	0	0	0	0	0	0	0
25	69.8	0	12.6	0	0	17.6	0	0	0	0	0	0	0	0
25	68.8	0	10.2	0	0	21	0	0	0	0	0	0	0	0
25	64.3	0	16.7	0	0	19	0	0	0	0	0	0	0	0
25	62.6	0	16.1	0	0	21.3	0	0	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	5	0	0	20	0	0	0	0	0	0	0	0
25	75	0	10	0	0	15	0	0	0	0	0	0	0	0
25	80	0	0	0	0	5	0	0	0	0	0	0	15	0
25	75	0	0	0	0	2.5	0	0	0	0	0	0	22.5	0
25	60	0	0	0	0	5	0	0	0	0	0	0	35	0
25	32	0	0	0	0	4	0	0	0	0	0	0	64	0
25	38	0	0	0	0	5	0	0	0	0	0	0	57	0
25	70	0	0	0	0	5	0	0	0	0	0	0	25	0
25	70	0	0	0	0	12.5	0	0	0	0	0	0	17.5	0
25	75	0	0	0	0	20	0	0	0	0	0	0	5	0
25	70	0	0	0	0	20	0	0	0	0	0	0	10	0
25	60	0	0	0	0	10	0	0	0	0	0	0	30	0
25	85	0	0	0	0	10	0	0	0	0	0	0	5	0
25	70	0	0	0	0	5	0	0	0	0	0	0	25	0
25	73.5	0	0	1.5	0	25	0	0	0	0	0	0	0	0
25	75	0	0	1.5	0	23.5	0	0	0	0	0	0	0	0
25	74.1	0	0	0	0	25.9	0	0	0	0	0	0	0	0
25	74.8	0	0	0	0	19.4	5.8	0	0	0	0	0	0	0
25	74.6	0	0	0	0	15.5	9.9	0	0	0	0	0	0	0
25	74.4	0	0	0	0	10.6	15	0	0	0	0	0	0	0
25	74.4	0	0	0	0	5.6	20	0	0	0	0	0	0	0
25	75	0	0	0	0	0	0	0	0	0	0	0	25	0
25	70.2	0	0	0	0	0	0	0	0	0	0	0	0	29.8
25	71.1	0	0	0	0	0	0	0	0	0	0	0	0	28.9
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	25	0	0	0	0	0	0	0	0	0	0	0	0
25	75	0	25	0	0	0	0	0	0	0	0	0	0	0
25	75	0	0	0	0	0	0	0	0	0	0	0	0	25
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	23.05	1.95	0	0	0	0	0	0	0
25	75	0	0	0	0	21.01	3.99	0	0	0	0	0	0	0
25	75	0	0	0	0	19.12	5.88	0	0	0	0	0	0	0
25	75	0	0	0	0	17.02	7.98	0	0	0	0	0	0	0
25	75	0	0	0	0	15	10	0	0	0	0	0	0	0
25	75	0	0	0	0	13.09	11.91	0	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	23.981	0	0	0	1.019	0	0	0	0
25	75	0	0	0	0	22.962	0	0	0	2.038	0	0	0	0
25	75	0	0	0	0	20.962	0	0	0	4.038	0	0	0	0
25	75	0	0	0	0	22.038	0	0	0	2.962	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	22.954	0	2.046	0	0	0	0	0	0
25	75	0	0	0	0	20.019	0	4.981	0	0	0	0	0	0
25	75	0	0	0	0	16.97	0	8.03	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	23	0	0	2	0	0	0	0	0
25	75	0	0	0	0	20	0	0	5	0	0	0	0	0
25	75	0	0	0	0	16.981	0	0	8.019	0	0	0	0	0
25	75	0	1.944	0	0	23.056	0	0	0	0	0	0	0	0
25	75	0	3.944	0	0	21.056	0	0	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	1.982	0	23.018	0	0	0	0	0	0	0	0
25	75	0	0	2.907	0	22.093	0	0	0	0	0	0	0	0
25	75	0	0	3.965	0	21.035	0	0	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	1.096	23.904	0	0	0	0	0	0	0	0
25	75	0	0	0	2.192	22.808	0	0	0	0	0	0	0	0
25	75	0	0	0	3.288	21.712	0	0	0	0	0	0	0	0
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	67.912	7.088	0	0	0	25	0	0	0	0	0	0	0	0
25	59.835	15.165	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	0	0	0	0	0	0	0	0	25
25	75	0	0	0	0	0	1.95	0	0	0	0	0	0	23.05
25	75	0	0	0	0	0	3.99	0	0	0	0	0	0	21.01
25	75	0	0	0	0	0	7.98	0	0	0	0	0	0	17.02
25	75	0	0	0	0	0	11.91	0	0	0	0	0	0	13.09
25	75	0	0	0	0	25	0	0	0	0	0	0	0	0
25	75	0	0	0	0	23	0	0	0	0	0	2	0	0
25	75	0	0	0	0	19.92	0	0	0	0	0	5.08	0	0
25	75	0	0	0	0	16.94	0	0	0	0	0	8.06	0	0
25	75	0	0	0	0	0	0	0	0	0	0	0	0	25
25	75	0	0	0	0	0	0	0	0	0	0	3.85	0	21.15
25	75	0	0	0	0	0	0	0	0	0	0	5.77	0	19.23
25	75	0	0	0	0	0	0	0	0	0	0	7.88	0	17.12
25	75	0	0	0	0	0	0	0	0	0	0	10	0	15
25	75	0	0	0	0	0	0	0	0	0	0	0	0	25
25	75	0	0	0	0	0	0	1.98	0	0	0	0	0	23.02
25	75	0	0	0	0	0	0	4.04	0	0	0	0	0	20.96
25	75	0	0	0	0	0	0	6.06	0	0	0	0	0	18.94
25	75	0	0	0	0	0	0	0	0	0	0	0	0	25
25	75	0	0	0	0	0	0	0	2.95	0	0	0	0	22.05
25	75	0	0	0	0	0	0	0	7.79	0	0	0	0	17.21
25	75	0	0	0	0	0	0	0	10.14	0	0	0	0	14.86
25	75	0	0	0	0	0	0	0	0	0	0	0	0	25
25	75	0	0	2.02	0	0	0	0	0	0	0	0	0	22.98
25	75	0	0	4.06	0	0	0	0	0	0	0	0	0	20.94
