Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	AlphaGammaPrime
300	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0	3.5953690000000003
500	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0	3.603504
600	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0	3.607628
700	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0	3.61269
800	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0	3.618543
900	0.6967	0.0344	0.0385	0.0073	0.0215	0.1431	0.0328	0.0	0.0256	0.0	0.0	0.0	0.0	0.0	3.623018
1000	0.6908	0.0366	0.0416	0.0067	0.0207	0.1444	0.0328	0.0	0.0265	0.0	0.0	0.0	0.0	0.0	3.623018
1100	0.6859000000000001	0.0377	0.0421	0.0059	0.0193	0.1481	0.032400000000000005	0.0	0.0286	0.0	0.0	0.0	0.0	0.0	3.6345099999999997
25	0.6878	0.0534	0.024	0.0	0.0487	0.16219999999999998	0.0	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	3.5850690000000003
300	0.6878	0.0534	0.024	0.0	0.0487	0.16219999999999998	0.0	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	3.5952230000000003
500	0.6878	0.0534	0.024	0.0	0.0487	0.16219999999999998	0.0	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	3.6037339999999998
600	0.6878	0.0534	0.024	0.0	0.0487	0.16219999999999998	0.0	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	3.6085260000000003
700	0.6878	0.0534	0.024	0.0	0.0487	0.16219999999999998	0.0	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	3.612472
800	0.6878	0.0534	0.024	0.0	0.0487	0.16219999999999998	0.0	0.0	0.0239	0.0	0.0	0.0	0.0	0.0	3.617894
900	0.6827	0.0559	0.0259	0.0	0.0481	0.1632	0.0	0.0	0.0242	0.0	0.0	0.0	0.0	0.0	3.6241220000000003
25	0.7464	0.0	0.0183	0.0	0.0228	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0	3.588568
300	0.7464	0.0	0.0183	0.0	0.0228	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0	3.599393
500	0.7464	0.0	0.0183	0.0	0.0228	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0	3.6078870000000003
600	0.7464	0.0	0.0183	0.0	0.0228	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0	3.612228
700	0.7464	0.0	0.0183	0.0	0.0228	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0	3.6167519999999995
800	0.7464	0.0	0.0183	0.0	0.0228	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0	3.6219620000000003
900	0.7378	0.0	0.0264	0.0	0.0204	0.165	0.0	0.0	0.0504	0.0	0.0	0.0	0.0	0.0	3.6288739999999997
1000	0.7318000000000001	0.0	0.0306	0.0	0.0193	0.1662	0.0	0.0	0.052000000000000005	0.0	0.0	0.0	0.0	0.0	3.6358309999999996
1100	0.7284	0.0	0.0342	0.0	0.0183	0.1652	0.0	0.0	0.0539	0.0	0.0	0.0	0.0	0.0	3.640194
25	0.7442	0.0	0.0152	0.0	0.0309	0.17059999999999995	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0	3.5855370000000004
500	0.7442	0.0	0.0152	0.0	0.0309	0.17059999999999995	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0	3.60488
600	0.7442	0.0	0.0152	0.0	0.0309	0.17059999999999995	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0	3.6097669999999997
700	0.7442	0.0	0.0152	0.0	0.0309	0.17059999999999995	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0	3.614726
800	0.7442	0.0	0.0152	0.0	0.0309	0.17059999999999995	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0	3.618989
900	0.7421	0.0	0.0169	0.0	0.0304	0.1711	0.0	0.0	0.0396	0.0	0.0	0.0	0.0	0.0	3.6243849999999997
1000	0.7367	0.0	0.0196	0.0	0.029	0.1734	0.0	0.0	0.0412	0.0	0.0	0.0	0.0	0.0	3.630515
1100	0.733	0.0	0.0218	0.0	0.0272	0.1744	0.0	0.0	0.0436	0.0	0.0	0.0	0.0	0.0	3.636529
25	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0	3.5915800000000004
300	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0	3.602931
