Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium
800	0.7464	0.0	0.0183	0.0	0.022799999999999997	0.1848	0.0	0.0	0.0276	0.0	0.0	0.0	0.0	0.0
900	0.7378	0.0	0.0264	0.0	0.0204	0.165	0.0	0.0	0.0504	0.0	0.0	0.0	0.0	0.0
1000	0.7318000000000001	0.0	0.030600000000000002	0.0	0.019299999999999998	0.16620000000000001	0.0	0.0	0.052000000000000005	0.0	0.0	0.0	0.0	0.0
1100	0.7284	0.0	0.0342	0.0	0.0183	0.16519999999999999	0.0	0.0	0.053899999999999997	0.0	0.0	0.0	0.0	0.0
25	0.7442	0.0	0.0152	0.0	0.030899999999999997	0.17059999999999997	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0
500	0.7442	0.0	0.0152	0.0	0.030899999999999997	0.17059999999999997	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0
600	0.7442	0.0	0.0152	0.0	0.030899999999999997	0.17059999999999997	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0
700	0.7442	0.0	0.0152	0.0	0.030899999999999997	0.17059999999999997	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0
800	0.7442	0.0	0.0152	0.0	0.030899999999999997	0.17059999999999997	0.0	0.0	0.0392	0.0	0.0	0.0	0.0	0.0
900	0.7421	0.0	0.0169	0.0	0.0304	0.1711	0.0	0.0	0.039599999999999996	0.0	0.0	0.0	0.0	0.0
1000	0.7367	0.0	0.0196	0.0	0.028999999999999998	0.1734	0.0	0.0	0.0412	0.0	0.0	0.0	0.0	0.0
1100	0.733	0.0	0.0218	0.0	0.027200000000000002	0.1744	0.0	0.0	0.0436	0.0	0.0	0.0	0.0	0.0
25	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0
300	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0
600	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0
