Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma
800	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6150860000000002
900	0.5848	0.1375	0.16010000000000002	0.0	0.0787	0.0334	0.0	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6219050000000004
25	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5852
300	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5961589999999997
500	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6047589999999996
600	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.609254
700	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613886
800	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.619596
900	0.6859000000000001	0.0	0.2246	0.0	0.0462	0.0321	0.0	0.0	0.011200000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.626669
1000	0.7003	0.0	0.1953	0.0	0.044500000000000005	0.0462	0.0	0.0	0.0137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6337639999999998
1100	0.708	0.0	0.1707	0.0	0.0425	0.0623	0.0	0.0	0.016399999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.642603
25	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5840410000000005
500	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6040949999999996
600	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6085730000000003
700	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613628
800	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6209029999999998
900	0.7464	0.0	0.1482	0.0	0.0641	0.0325	0.0	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.626115
1000	0.7515999999999999	0.0	0.1288	0.0	0.0614	0.0473	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.633111
1100	0.7524	0.0	0.1114	0.0	0.0582	0.0646	0.0	0.0	0.0133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6394940000000005
25	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5863110000000002
300	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598028
600	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6113440000000003
700	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61626
800	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6219349999999997
900	0.7265999999999999	0.0	0.1745	0.0	0.0575	0.0296	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6219349999999997
1000	0.7342	0.0	0.1534	0.0	0.0555	0.0425	0.0	0.0	0.0143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.637861
1100	0.7391	0.0	0.1329	0.0	0.0528	0.058	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.643415
25	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.578525
300	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.591457
500	0.7408	0.0	0.1766	0.0	0.0468	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59951
