Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold
300	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.5848	0.1375	0.16010000000000002	0.0	0.0787	0.0334	0.0	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.6859000000000001	0.0	0.22460000000000002	0.0	0.0462	0.0321	0.0	0.0	0.011200000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7003	0.0	0.1953	0.0	0.044500000000000005	0.0462	0.0	0.0	0.0137	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.708	0.0	0.1707	0.0	0.0425	0.0623	0.0	0.0	0.016399999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.7464	0.0	0.1482	0.0	0.0641	0.0325	0.0	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7515999999999999	0.0	0.1288	0.0	0.061399999999999996	0.0473	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7524	0.0	0.1114	0.0	0.0582	0.0646	0.0	0.0	0.013300000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7195999999999999	0.0	0.1873	0.0	0.058499999999999996	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.7195999999999999	0.0	0.1873	0.0	0.058499999999999996	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.7195999999999999	0.0	0.1873	0.0	0.058499999999999996	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.7195999999999999	0.0	0.1873	0.0	0.058499999999999996	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.7195999999999999	0.0	0.1873	0.0	0.058499999999999996	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.7265999999999999	0.0	0.1745	0.0	0.0575	0.0296	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7342	0.0	0.1534	0.0	0.0555	0.0425	0.0	0.0	0.0143	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7391	0.0	0.1329	0.0	0.0528	0.057999999999999996	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7408	0.0	0.1766	0.0	0.046799999999999994	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.7408	0.0	0.1766	0.0	0.046799999999999994	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.7408	0.0	0.1766	0.0	0.046799999999999994	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.7408	0.0	0.1766	0.0	0.046799999999999994	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.7408	0.0	0.1766	0.0	0.046799999999999994	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.7408	0.0	0.1766	0.0	0.046799999999999994	0.023	0.0	0.0	0.0128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.7502	0.0	0.1478	0.0	0.044199999999999996	0.0405	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7502	0.0	0.1478	0.0	0.044199999999999996	0.0405	0.0	0.0	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7529	0.0	0.1295	0.0	0.0418	0.055099999999999996	0.0	0.0	0.0207	0.0	0.0	0.0	0.0	0.0	0.0	0.0
