Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
25	0.5397	0.1032	0.2544	0.0295	0.0378	0.026000000000000002	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5804440000000004		$\gamma$
300	0.5397	0.1032	0.2544	0.0295	0.0378	0.026000000000000002	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.592867		$\gamma$
500	0.5397	0.1032	0.2544	0.0295	0.0378	0.026000000000000002	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6008940000000003		$\gamma$
600	0.5397	0.1032	0.2544	0.0295	0.0378	0.026000000000000002	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.605062		$\gamma$
700	0.5397	0.1032	0.2544	0.0295	0.0378	0.026000000000000002	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.610401		$\gamma$
800	0.5397	0.1032	0.2544	0.0295	0.0378	0.026000000000000002	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.616729		$\gamma$
900	0.5625	0.0947	0.2332	0.0286	0.0375	0.0321	0.005699999999999999	0.0	0.005699999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.625156		$\gamma$
1000	0.595	0.08109999999999999	0.1975	0.0264	0.0368	0.0462	0.0099	0.0	0.006999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.630798		$\gamma$
1100	0.6236999999999999	0.0693	0.1605	0.023	0.0349	0.0643	0.015700000000000002	0.0	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.636487		$\gamma$
25	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.582172		$\gamma$
300	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.592243		$\gamma$
500	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.600781		$\gamma$
